
         654 function calls (651 primitive calls) in 60.478 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   60.477   60.477 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        4    0.000    0.000    0.000    0.000 codecs.py:276(reset)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        4    0.000    0.000    0.000    0.000 codecs.py:327(reset)
        4    0.000    0.000    0.000    0.000 contextlib.py:375(_create_exit_wrapper)
        2    0.000    0.000    0.000    0.000 contextlib.py:385(__init__)
        4    0.000    0.000    0.000    0.000 contextlib.py:415(enter_context)
        4    0.000    0.000    0.000    0.000 contextlib.py:458(_push_cm_exit)
        4    0.000    0.000    0.000    0.000 contextlib.py:463(_push_exit_callback)
        2    0.000    0.000    0.000    0.000 contextlib.py:479(__enter__)
        2    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
        1    0.000    0.000    0.000    0.000 distance.py:179(_ensure_same_altitude)
        1    0.000    0.000    0.001    0.001 distance.py:240(__init__)
        2    0.000    0.000    0.000    0.000 distance.py:389(kilometers)
        2    0.000    0.000    0.000    0.000 distance.py:393(km)
        1    0.000    0.000    0.001    0.001 distance.py:516(__init__)
        1    0.000    0.000    0.000    0.000 distance.py:524(set_ellipsoid)
        1    0.000    0.000    0.001    0.001 distance.py:537(measure)
      2/1    0.000    0.000   60.477   60.477 foodapp.py:9(appflow)
        1    0.000    0.000    0.000    0.000 foodappclasses.py:102(getwallet)
        1    0.000    0.000    0.000    0.000 foodappclasses.py:106(fetchnsetuserdata)
        1    0.000    0.000    0.000    0.000 foodappclasses.py:116(getcouponstatus)
        1    0.000    0.000    0.000    0.000 foodappclasses.py:119(getemail)
        1    0.000    0.000    0.000    0.000 foodappclasses.py:123(updatecouponstat)
        1    0.000    0.000    0.001    0.001 foodappclasses.py:159(fetchall)
        6    0.000    0.000    0.001    0.000 foodappclasses.py:16(openconnection)
        1    0.000    0.000    0.000    0.000 foodappclasses.py:171(fetch)
        1    0.000    0.000    0.000    0.000 foodappclasses.py:184(fetchandsetrestaurant)
